_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,length_str,_ - registered_address 2 2,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Status information,_ - all_attributes - additional_data - Note:,_ - previous_names - _ - company_name,_ - subsequent_registrations - _ - data_type,_ - subsequent_registrations - _ - confidence,_ - subsequent_registrations - _ - source_url,_ - subsequent_registrations - _ - start_date,_ - subsequent_registrations - _ - retrieved_at,_ - subsequent_registrations - _ - start_date_type,_ - subsequent_registrations - _ - publication_date,_ - subsequent_registrations - _ - subsequent_registration_start_date,_ - subsequent_registrations - _ - previous_entity - entity_type,_ - subsequent_registrations - _ - previous_entity - entity_properties - company_number,_ - subsequent_registrations - _ - previous_entity - entity_properties - jurisdiction_code,_ - subsequent_registrations - _ - subsequent_entity - entity_type,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - company_number,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - jurisdiction_code,_ - alternate_registrations - _ - data_type,_ - alternate_registrations - _ - confidence,_ - alternate_registrations - _ - source_url,_ - alternate_registrations - _ - start_date,_ - alternate_registrations - _ - sample_date,_ - alternate_registrations - _ - retrieved_at,_ - alternate_registrations - _ - start_date_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - company_number,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - jurisdiction_code
,,,,,,,,,,0,,Axel Steffen,person,Geschäftsführer,,2009-05-08,Steffen,Axel,Hamburg,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Jan-Gerd Bartels,person,Geschäftsführer,,2016-01-12,Bartels,Jan-Gerd,Scharbeutz,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Axel Steffen,person,Geschäftsführer,2008-07-14,,Steffen,Axel,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLD Green Living Development Verwaltungs GmbH,27477,2017-06-26T16:40:05Z,K1101R_HRB114371,de/K1101R_HRB114371,currently registered,de,"Hongkongstraße 10a, 5.OG, 20457 Hamburg.",Hongkongstraße 10a,"5.OG,",5,20457 Hamburg.,Günter Adolf Krause,person,Geschäftsführer,2010-07-09,,Krause,Günter Adolf,Hamburg,,,,,,Hamburg,HRB,Hamburg,114371,Hamburg HRB 114371,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR Vermögensverwaltungs GmbH,28569,2017-06-27T04:46:19Z,K1101R_HRB114933,de/K1101R_HRB114933,removed,de,"c/o Rechtsanwälte Toft Fricke, Neuer Wall 35, 20354 Hamburg.",c/o Rechtsanwälte Toft Fricke,Neuer,5,"Wall 35, 20354 Hamburg.",Rainer Gruhlke,person,Geschäftsführer,2010-08-23,,Gruhlke,Rainer,Flensburg,sole representation,,,,,Hamburg,HRB,Hamburg,114933,Hamburg HRB 114933,Hamburg,,,false,true,true,false,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Rainer Gruhlke,person,Liquidator,2013-08-27,,Gruhlke,Rainer,Flensburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN Technik UG (haftungsbeschränkt),28983,2017-06-27T09:52:15Z,K1101R_HRB115226,de/K1101R_HRB115226,removed,de,"c/o Huth Dietrich Hahn, Neuer Jungfernstieg 17, 20354 Hamburg.",c/o Huth Dietrich Hahn,Neuer,5,"Jungfernstieg 17, 20354 Hamburg.",Christian Wiedemann,person,Geschäftsführer,,2011-02-01,Wiedemann,Christian,Hamburg,,true,,,,Hamburg,HRB,Hamburg,115226,Hamburg HRB 115226,Hamburg,,,false,true,true,false,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Christian Wiedemann,person,Geschäftsführer,2010-09-19,,Wiedemann,Christian,Hamburg,vertretungsberechtigt gemäß allgemeiner Vertretungsregelung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,QI HE,person,Liquidator,2011-05-09,,HE,QI,Hong Kong,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,QI HE,person,Geschäftsführer,2011-02-01,,HE,QI,Hong Kong,vertretungsberechtigt gemäß allgemeiner Vertretungsregelung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGA Vermögensanlagen GmbH,30453,2017-06-28T03:24:08Z,K1101R_HRB87107,de/K1101R_HRB87107,removed,de,"c/o ARISTA Consulting GmbH, Große Bleichen 23-27, 20354 Hamburg.",c/o ARISTA Consulting GmbH,Große,5,"Bleichen 23-27, 20354 Hamburg.",Christian Bock,person,Geschäftsführer,,2007-08-09,Bock,Christian,Hamburg,,true,,,,Hamburg,HRB,Hamburg,87107,Hamburg HRB 87107,Hamburg,,,false,true,true,false,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Olaf Güllich,person,Geschäftsführer,2007-08-09,,Güllich,Olaf,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Olaf Güllich,person,Liquidator,2010-03-25,,Güllich,Olaf,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campus Futura GmbH & Co. KG,30687,2018-11-02T14:27:55Z,K1101R_HRA116396,de/K1101R_HRA116396,currently registered,de,"Hongkongstraße 10a, 5.OG, 20457 Hamburg.",Hongkongstraße 10a,"5.OG,",5,20457 Hamburg.,"Campus Futura Verwaltungs GmbH, Hamburg (Amtsgericht Hamburg HRB 128089).",company,Persönlich haftender Gesellschafter,2013-07-25,,,,,,,,,,Hamburg,HRA,Hamburg,116396,Hamburg HRA 116396,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,"ZEUS Verwaltungs GmbH, Hamburg (Amtsgericht Hamburg HRB 128047).",company,Persönlich haftender Gesellschafter,2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,"ZEUS Verwaltungs GmbH, Hamburg (Amtsgericht Hamburg HRB 128047).",company,Persönlich haftender Gesellschafter,2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarMalaita Schiffahrtsgesellschaft mbH & Co. KG,31684,2018-07-26T10:55:10Z,K1101R_HRA117092,de/K1101R_HRA117092,currently registered,de,"Gasstraße 4b, Halle K5, 22761 Hamburg.",Gasstraße 4b,Halle,5,"K5, 22761 Hamburg.","Safe Harbour Beteiligungs GmbH, Hamburg (Amtsgericht Hamburg HRB 126345).",company,Persönlich haftender Gesellschafter,2014-01-24,,,,,,,,,,Hamburg,HRA,Hamburg,117092,Hamburg HRA 117092,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pourkian Unternehmensberater GmbH,31855,2019-01-30T18:36:36Z,K1101R_HRB86323,de/K1101R_HRB86323,currently registered,de,"Karlstraße 1a, Villa Schöne Aussicht, 22085 Hamburg.",Karlstraße 1a,Villa,5,"Schöne Aussicht, 22085 Hamburg.",,,,,,,,,,,,,,Hamburg,HRB,Hamburg,86323,Hamburg HRB 86323,Hamburg,,,true,true,true,false,true,true,false,,,,"Pourkian GmbH Unternehmensberater Partner für Investoren, Manager und Unternehmer",,,,,,,,,,,,,,,,,,,,,,,,
UnikTruck Deutschland GmbH,33988,2017-06-30T00:20:49Z,K1101R_HRB118842,de/K1101R_HRB118842,removed,de,"c/o SIGMA - Kühne + Partner Steuerberatungsgesellschaft, Neuer Wall 26/28, 20354 Hamburg.",c/o SIGMA - Kühne + Partner Steuerberatungsgesellschaft,Neuer,5,"Wall 26/28, 20354 Hamburg.",Michael Laursen,person,Geschäftsführer,,2012-12-18,Laursen,Michael,Bad Rothenfelde,,true,,,,Hamburg,HRB,Hamburg,118842,Hamburg HRB 118842,Hamburg,,,false,true,true,false,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Michael Laursen,person,Geschäftsführer,2011-07-01,,Laursen,Michael,Bad Rothenfelde,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Michael Laursen,person,Liquidator,2012-12-18,,Laursen,Michael,Beder,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPOSITAS GmbH,34317,2017-06-30T04:02:01Z,K1101R_HRB119055,de/K1101R_HRB119055,currently registered,de,"Kaiserkai 1, Regus Hamburg Hafencity, 20457 Hamburg.",Kaiserkai 1,Regus,5,"Hamburg Hafencity, 20457 Hamburg.",Anatoly Tregub,person,Geschäftsführer,,2013-04-09,Tregub,Anatoly,Buchholz,,true,,,,Hamburg,HRB,Hamburg,119055,Hamburg HRB 119055,Hamburg,,,true,true,true,false,true,true,true,,,,Security Depot KT Hamburg GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Anatoly Tregub,person,Geschäftsführer,2011-12-14,,Tregub,Anatoly,Buchholz,,,,,,,,,,,,,,,,,,,,,,,,Security Depot KT Hamburg UG (haftungsbeschränkt),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Nicole von Kiwa,person,Geschäftsführer,2011-12-14,,von Kiwa,Nicole,Buchholz,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Nicole von Kiwa,person,Liquidator,2016-03-14,,von Kiwa,Nicole,Buchholz,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Nicole von Kiwa,person,Geschäftsführer,2011-07-18,,von Kiwa,Nicole,Buchholz,vertretungsberechtigt gemäß allgemeiner Vertretungsregelung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patria Porto Schiffahrtsgesellschaft UG (haftungsbeschränkt) & Co. KG,34564,2017-06-30T07:09:54Z,K1101R_HRA119235,de/K1101R_HRA119235,currently registered,de,"Gasstraße 4b, Halle K5, 22761 Hamburg.",Gasstraße 4b,Halle,5,"K5, 22761 Hamburg.","Patria Porto Verwaltung UG (haftungsbeschränkt), Hamburg (Amtsgericht Hamburg HRB 137867).",company,Persönlich haftender Gesellschafter,2015-08-25,,,,,,,,,,Hamburg,HRA,Hamburg,119235,Hamburg HRA 119235,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinitel UG (haftungsbeschränkt),35817,2017-06-30T20:11:23Z,R1101_HRB69484,de/R1101_HRB69484,removed,de,"Neumannstraße 2, Halle 26 links, 40235 Düsseldorf.",Neumannstraße 2,Halle,5,"26 links, 40235 Düsseldorf.",Kai Volker Becker,person,Geschäftsführer,2013-01-25,,Becker,Kai Volker,Düsseldorf,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,Düsseldorf,HRB,North Rhine-Westphalia,69484,Düsseldorf HRB 69484,Düsseldorf,,,false,true,true,false,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maturus Finance GmbH,38392,2017-06-18T18:51:11Z,K1101R_HRB95582,de/K1101R_HRB95582,currently registered,de,"Brodschrangen 3 - 5, ""Haus Cölln"", 20457 Hamburg.",Brodschrangen 3 - 5,"""Haus",5,"Cölln"", 20457 Hamburg.",Clemens Fritzen,person,Geschäftsführer,,2007-11-27,Fritzen,Clemens,Kastorf,,true,,,,Hamburg,HRB,Hamburg,95582,Hamburg HRB 95582,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Carl-Jan Freiherr von der Goltz,person,Geschäftsführer,2007-11-27,,Freiherr von der Goltz,Carl-Jan,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Carl-Jan Freiherr von der Goltz,person,Geschäftsführer,2014-03-03,,Freiherr von der Goltz,Carl-Jan,Hamburg,vertretungsberechtigt gemeinsam mit einem anderen Geschäftsführer oder einem Prokuristen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Christoph Kleinfeld,person,Geschäftsführer,2014-03-03,,Kleinfeld,Christoph,Wedel,vertretungsberechtigt gemeinsam mit einem anderen Geschäftsführer oder einem Prokuristen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDH - GmbH Technischer Dämmstoffhandel,39959,2018-07-26T18:12:45Z,K1101R_HRB72526,de/K1101R_HRB72526,currently registered,de,"Sternstraße 14, 00139 Dresden.",Sternstraße 14,00139,5,Dresden.,Marcus Werner,person,Geschäftsführer,2018-10-02,,Werner,Marcus,Westergellersen,sole representation,,,,,Hamburg,HRB,Hamburg,72526,Hamburg HRB 72526,Hamburg,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenstar GmbH,40757,2017-07-03T21:17:07Z,K1101R_HRB124175,de/K1101R_HRB124175,currently registered,de,"Banksstraße 28, Stand 263, 20097 Hamburg.",Banksstraße 28,Stand,5,"263, 20097 Hamburg.",Medhat Mohamed Ibrahim Moustafa,person,Geschäftsführer,2012-08-21,,Moustafa,Medhat Mohamed Ibrahim,Wedel,sole representation,,,,,Hamburg,HRB,Hamburg,124175,Hamburg HRB 124175,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashn UG (haftungsbeschränkt),41076,2017-07-04T02:40:23Z,K1101R_HRB124491,de/K1101R_HRB124491,removed,de,"Dienerreihe 4, brand interactive GmbH, 20457 Hamburg.",Dienerreihe 4,brand,5,"interactive GmbH, 20457 Hamburg.",Felix Doctor Brosius,person,Geschäftsführer,,2014-08-18,Doctor Brosius,Felix,Hamburg,,true,,,,Hamburg,HRB,Hamburg,124491,Hamburg HRB 124491,Hamburg,,,false,true,true,false,false,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Arndt Doctor Roller,person,Liquidator,2014-08-18,,Doctor Roller,Arndt,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Felix Doctor Brosius,person,Geschäftsführer,2012-09-13,,Doctor Brosius,Felix,Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schanzenbäckerei Randstraße GmbH,44169,2017-07-06T10:26:17Z,K1101R_HRB126436,de/K1101R_HRB126436,currently registered,de,"Lagerstraße 17, Halle G, 20357 Hamburg.",Lagerstraße 17,Halle,5,"G, 20357 Hamburg.",Gürol Gür,person,Geschäftsführer,2013-02-19,,Gür,Gürol,Hamburg,sole representation,,,,,Hamburg,HRB,Hamburg,126436,Hamburg HRB 126436,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campus Futura Verwaltungs GmbH,46186,2017-07-08T12:41:04Z,K1101R_HRB128089,de/K1101R_HRB128089,currently registered,de,"Hongkongstraße 10a, 5.OG, 20457 Hamburg.",Hongkongstraße 10a,"5.OG,",5,20457 Hamburg.,Günter Adolf Krause,person,Geschäftsführer,2013-07-04,,Krause,Günter Adolf,Hamburg,,,,,,Hamburg,HRB,Hamburg,128089,Hamburg HRB 128089,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMPRO Solutions GmbH,49608,2019-01-30T18:16:33Z,K1101R_HRB132712,de/K1101R_HRB132712,currently registered,de,"Alter Wandrahm 11, Block W, 20457 Hamburg.",Alter Wandrahm 11,Block,5,"W, 20457 Hamburg.",Gerhard Schmid,person,Geschäftsführer,,2019-01-15,Schmid,Gerhard,Hamburg,,true,,,,Hamburg,HRB,Hamburg,132712,Hamburg HRB 132712,Hamburg,,,true,true,true,false,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Gerhard Schmid,person,Geschäftsführer,2014-07-21,,Schmid,Gerhard,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Volker Steinmetz,person,Geschäftsführer,2019-01-23,,Steinmetz,Volker,Hamburg,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Volker Steinmetz,person,Geschäftsführer,2019-01-15,,Steinmetz,Volker,Hamburg,vertretungsberechtigt gemäß allgemeiner Vertretungsregelung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarCourier Verwaltungs UG (haftungsbeschränkt),50943,2017-07-16T08:45:57Z,K1101R_HRB134992,de/K1101R_HRB134992,currently registered,de,"Gasstraße 4, Halle K5, 22761 Hamburg.",Gasstraße 4,Halle,5,"K5, 22761 Hamburg.",Matthias Dabelstein,person,Geschäftsführer,2015-01-23,,Dabelstein,Matthias,Hamburg,vertretungsberechtigt gemäß allgemeiner Vertretungsregelung,,,,,Hamburg,HRB,Hamburg,134992,Hamburg HRB 134992,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simcoe & Friends Handelsagentur GmbH,52403,2017-07-19T02:28:08Z,K1101R_HRB136809,de/K1101R_HRB136809,currently registered,de,"St. Annenufer 3, Block R 3, IV.",St. Annenufer 3,Block,5,"R 3, IV.",Dieter Kommerowski,person,Geschäftsführer,,2015-08-18,Kommerowski,Dieter,Hamburg,,true,,,,Hamburg,HRB,Hamburg,136809,Hamburg HRB 136809,Hamburg,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,Dieter Kommerowski,person,Geschäftsführer,2015-06-02,,Kommerowski,Dieter,Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
