_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,city,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Note:,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - previous_names - _ - company_name,_ - subsequent_registrations - _ - data_type,_ - subsequent_registrations - _ - confidence,_ - subsequent_registrations - _ - source_url,_ - subsequent_registrations - _ - start_date,_ - subsequent_registrations - _ - retrieved_at,_ - subsequent_registrations - _ - start_date_type,_ - subsequent_registrations - _ - publication_date,_ - subsequent_registrations - _ - subsequent_registration_start_date,_ - subsequent_registrations - _ - previous_entity - entity_type,_ - subsequent_registrations - _ - previous_entity - entity_properties - company_number,_ - subsequent_registrations - _ - previous_entity - entity_properties - jurisdiction_code,_ - subsequent_registrations - _ - subsequent_entity - entity_type,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - company_number,_ - subsequent_registrations - _ - subsequent_entity - entity_properties - jurisdiction_code,_ - alternate_registrations - _ - data_type,_ - alternate_registrations - _ - confidence,_ - alternate_registrations - _ - source_url,_ - alternate_registrations - _ - start_date,_ - alternate_registrations - _ - sample_date,_ - alternate_registrations - _ - retrieved_at,_ - alternate_registrations - _ - start_date_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_type,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - company_number,_ - alternate_registrations - _ - alternate_entities - _ - entity_properties - jurisdiction_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfgang Lamminger,person,Prokurist,,2015-07-31,Wolfgang,Lamminger,Iserlohn,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Schlotz,person,Geschäftsführer,,2015-09-17,Walter,Schlotz,Würzburg,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ortwin Magister Hofmann,person,Geschäftsführer,,2016-02-09,Ortwin,Magister Hofmann,Thalheim bei Wels / Österreich,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roland Magister Werner,person,Prokurist,,2016-02-09,Roland,Magister Werner,Hofkirchen im Traunkreis,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alois Kobler,person,Geschäftsführer,2016-02-09,,Alois,Kobler,Würzburg,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ortwin Magister Hofmann,person,Geschäftsführer,2015-09-17,,Ortwin,Magister Hofmann,Thalheim bei Wels / Österreich,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Schlotz,person,Geschäftsführer,2015-07-31,,Walter,Schlotz,Würzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfgang Lamminger,person,Prokurist,2008-12-16,,Wolfgang,Lamminger,Holzwickede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORTEX - Textilvertriebsgesellschaft mit beschränkter Haftung,2500281,2018-06-23T03:53:55Z,R2706_HRB4059,de/R2706_HRB4059,currently registered,de,Beethovenstr.,Beethovenstr.,,,Steinfurt,HRB,North Rhine-Westphalia,4059,Steinfurt HRB 4059,Emsdetten,,,true,true,true,true,true,true,true,,,Oliver Heidotting,person,Geschäftsführer,,2013-02-05,Oliver,Heidotting,Emsdetten,true,,,,,"""BORTEX"" - Textilvertiebsgesellschaft mit beschränkter Haftung",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oliver Heidotting,person,Geschäftsführer,2008-08-15,,Oliver,Heidotting,Emsdetten,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON Immobiliengesellschaft mbH,2500396,2018-06-23T03:53:55Z,D4501V_HRB4059,de/D4501V_HRB4059,removed,de,Eichstätter Str.,Eichstätter Str.,,,Hof,HRB,Bavaria,4059,Hof HRB 4059,Tirschenreuth,,,false,true,false,false,false,true,true,,,Peter Rosenbohm,person,Geschäftsführer,,2007-09-06,Peter,Rosenbohm,Erdmannhausen,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anja Nititzki,person,Prokurist,,2010-08-11,Anja,Nititzki,Nürnberg,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Bieberle,person,Geschäftsführer,,2010-08-11,Stefan,Bieberle,Thierstein,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anja Nititzki,person,Prokurist,2007-08-23,,Anja,Nititzki,Nürnberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hermann Seis,person,Geschäftsführer,2010-08-11,,Hermann,Seis,Weißenburg,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Rosenbohm,person,Geschäftsführer,2006-05-05,,Peter,Rosenbohm,Erdmannhausen,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Bieberle,person,Geschäftsführer,2006-05-05,,Stefan,Bieberle,Thierstein,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windpark Willmersdorf I GmbH & Co. KG,2500437,2018-06-23T03:53:55Z,W1215_HRA4059,de/W1215_HRA4059,removed,de,Mainstr.,Mainstr.,,,Stendal,HRA,Saxony-Anhalt,4059,Stendal HRA 4059,Dessau-Roßlau,,,false,true,true,false,false,true,true,,,"Willmersdorf Repowering Verwaltung GmbH, Dessau-Roßlau (Amtsgericht Stendal HRB 19294).",company,Persönlich haftender Gesellschafter,,2015-10-06,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Willmersdorf Repowering Verwaltung GmbH, Dessau-Roßlau (Amtsgericht Stendal HRB 19294).",company,Persönlich haftender Gesellschafter,2013-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zehner Verwaltungs-GmbH,2500445,2018-06-23T03:53:55Z,D4608V_HRB4059,de/D4608V_HRB4059,currently registered,de,Bahnhofstr.,Bahnhofstr.,,,Schweinfurt,HRB,Bavaria,4059,Schweinfurt HRB 4059,Bad Königshofen,,,true,true,true,true,true,true,true,,,Bernd Zehner,person,Geschäftsführer,2010-12-21,,Bernd,Zehner,Bad Königshofen,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRmedia GmbH,2500476,2018-06-23T03:55:15Z,D2601V_HRB4060,de/D2601V_HRB4060,currently registered,de,Hopfenstr.,Hopfenstr.,,,München,HRB,Bavaria,4060,München HRB 4060,München,,,true,true,true,true,true,true,true,,,Erich Welisch,person,Prokurist,,2013-08-05,Erich,Welisch,Wallersdorf,true,,,,,Bayerische Rundfunkwerbung Gesellschaft mit beschränkter Haftung,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Strobel,person,Geschäftsführer,2013-08-05,,Daniel,Strobel,München,,,,,,Bayerisches Werbefernsehen Gesellschaft mit beschränkter Haf tungung Sitz: München,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ludger Lausberg,person,Geschäftsführer,2010-08-17,,Ludger,Lausberg,München,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,Bayerisches Werbefernsehen Gesellschaft mit beschränkter Haf tungung,,,,,,,,,,,,,,,,,,,,,,,,
floXcon Franchise GmbH & Co. KG,2500506,2018-06-23T03:55:15Z,D4301V_HRA4060,de/D4301V_HRA4060,currently registered,de,Friedrich-von-Schiller-Str.,Friedrich-von-Schiller-Str.,,,Bayreuth,HRA,Bavaria,4060,Bayreuth HRA 4060,Bayreuth,,,true,true,true,false,true,true,true,,,"eb Textilhandels-GmbH, Bayreuth (Amtsgericht Bayreuth HRB 1916), mit der Befugnis - auch für die jeweiligen Geschäftsführer -, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hummert Vermietungs GmbH & Co. KG,2500531,2018-06-23T03:55:15Z,R2307_HRA4060,de/R2307_HRA4060,currently registered,de,Breslauer Str.,Breslauer Str.,,,Lemgo,HRA,North Rhine-Westphalia,4060,Lemgo HRA 4060,Oerlinghausen,,,true,true,true,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INNOVAPORT Wirtschafts- und Technologie Beratungsgesellschaft mbH,2500538,2018-06-23T03:55:15Z,P2204_HRB4060,de/P2204_HRB4060,removed,de,Ferdinand-Lassalle-Str.,Ferdinand-Lassalle-Str.,,,Göttingen,HRB,Lower Saxony,4060,Göttingen HRB 4060,Leipzig,,,false,true,true,true,false,true,true,,,Manuela Modrach,person,Geschäftsführer,,2009-09-15,Manuela,Modrach,Göttingen,true,,,,,Horatio 63.Vermögensverwaltungs GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfgang Post,person,Geschäftsführer,2009-09-15,,Wolfgang,Post,Leipzig,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kress Maschinen- und Anlagen-Konstruktions GmbH,2500557,2018-06-23T03:55:15Z,D4102V_HRB4060,de/D4102V_HRB4060,currently registered,de,Dieselstr.,Dieselstr.,,,Aschaffenburg,HRB,Bavaria,4060,Aschaffenburg HRB 4060,Großostheim,,,true,true,true,true,true,true,true,,,Robert Grabler,person,Prokurist,,2006-01-04,Robert,Grabler,Gommersheim,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werner Pospischil,person,Geschäftsführer,,2010-01-26,Werner,Pospischil,Rödermark,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markus Reining,person,Prokurist,,2014-12-01,Markus,Reining,Großostheim,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilhelm Reining,person,Geschäftsführer,,2014-12-01,Wilhelm,Reining,Schaafheim- Schlierbach,true,,,Techniker (Maschinenbau),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markus Reining,person,Geschäftsführer,2014-12-01,,Markus,Reining,Großostheim,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markus Reining,person,Prokurist,2010-01-26,,Markus,Reining,Großostheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werner Kress,person,Geschäftsführer,2014-12-01,,Werner,Kress,Großostheim,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto-Dollinger GmbH,2500650,2018-06-23T03:56:53Z,D3304V_HRB4061,de/D3304V_HRB4061,currently registered,de,Paul-Gossen-Str.,Paul-Gossen-Str.,,,Fürth,HRB,Bavaria,4061,Fürth HRB 4061,Erlangen,,,true,true,true,true,true,true,true,,,Uwe Irmler,person,Geschäftsführer,2008-12-22,,Uwe,Irmler,Erlangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betten Sperlich OHG,2500658,2018-06-23T03:56:53Z,D2803V_HRA4061,de/D2803V_HRA4061,currently registered,de,"Pockinger Straße 40, Hartkirchen, 94060 Pocking.",Pockinger Straße 40,"Hartkirchen,",94060 Pocking.,Passau,HRA,Bavaria,4061,Passau HRA 4061,"Hartkirchen, Stadtgemeinde Pocking",,,true,true,true,true,true,true,true,,,Anja Luisa Elena Sperlich,person,Persönlich haftender Gesellschafter,2012-01-03,,Anja Luisa Elena,Sperlich,Bad Füssing,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,"Betten-Sperlich Inh. Max Sperlich Bettfedern- und Daunenfabrik, Bettwarenerzeugung e. K.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maximilian Sperlich,person,Persönlich haftender Gesellschafter,2012-01-03,,Maximilian,Sperlich,Pocking,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,"Betten-Sperlich Inh.Max Sperlich Bettfedern- und Daunenfabrik, Bettwarenerzeugung",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Sperlich,,,,,,,,,,,,,,,,,,,,,,,,
Günter Roth Immobilien-Vermögensverwaltung UG (haftungsbeschränkt) & Co. KG,2500717,2018-06-23T03:56:53Z,M1502_HRA4061,de/M1502_HRA4061,currently registered,de,Friedlandstr.,Friedlandstr.,,,Hanau,HRA,Hesse,4061,Hanau HRA 4061,Bruchköbel,,,true,true,true,true,true,true,true,,,Günther Roth,person,Persönlich haftender Gesellschafter,,2013-05-22,Günther,Roth,Bruchköbel,true,,,,,Franz Roth & Sohn OHG - Raparaturwerkstatt und Kraftfahrzeughandel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Günter Roth oHG,,,,,,,,,,,,,,,,,,,,,,,,
H.M. Handel mit Waren aller Art GmbH,2500719,2018-06-23T03:56:53Z,R2108_HRB4061,de/R2108_HRB4061,removed,de,Kreisstr.,Kreisstr.,,,Bad Oeynhausen,HRB,North Rhine-Westphalia,4061,Bad Oeynhausen HRB 4061,Porta Westfalica,,,false,true,true,true,false,true,true,,,Helmut Meyer,person,Geschäftsführer,,2010-04-28,Helmut,Meyer,Porta Westfalica,true,,,,,H. M. Metallwaren GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miroslava geborene Derkatsch Meyer,person,Geschäftsführer,2010-04-28,,Miroslava geborene Derkatsch,Meyer,Porta Westfalica,,einzelvertretungsberechtigt mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAM Josef Stanglmeier GmbH Asphalt-Mischwerk,2500801,2018-06-23T03:56:53Z,D3410V_HRB4061,de/D3410V_HRB4061,currently registered,de,Münchener Str.,Münchener Str.,,,Regensburg,HRB,Bavaria,4061,Regensburg HRB 4061,Abensberg,,,true,true,true,true,true,true,true,,,Leonhard Wiedemann,person,Prokurist,2010-04-26,,Leonhard,Wiedemann,Ustersbach,,,,,,Josef Stanglmeier Verwaltungs-GmbH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Leitenmaier,person,Geschäftsführer,2006-09-22,,Peter,Leitenmaier,Thannhausen,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abwicklungskommanditgesellschaft Imprint Digital Foto GmbH & Co. KG,2500834,2018-06-23T03:58:12Z,X1517R_HRA4062KI,de/X1517R_HRA4062KI,removed,de,"c/o Leonhardt Rechtsanwälte Insolvenzverwalter Notare, Ringstraße 28, 24103 Kiel.",c/o Leonhardt Rechtsanwälte Insolvenzverwalter Notare,Ringstraße,"28, 24103 Kiel.",Kiel,HRA,Schleswig-Holstein,4062,Kiel HRA 4062 KI,Kiel,,KI,false,true,true,true,false,true,true,,,,,,,,,,,,,,,,Imprint Digital Foto GmbH & Co. Kommanditgesellschaft,,,,,,,,,,,,,,,,,,,,,,,,
AMSANUS GmbH,2500837,2018-06-23T03:58:12Z,D4501V_HRB4062,de/D4501V_HRB4062,removed,de,Zobelsreuther Str.,Zobelsreuther Str.,,,Hof,HRB,Bavaria,4062,Hof HRB 4062,Hof,,,false,true,true,false,false,true,true,,,Alexander : Alius,person,Liquidator,2010-09-30,,Alexander,: Alius,Hof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Alius,person,Geschäftsführer,2006-05-09,,Alexander,Alius,Hof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch. Reinhardt GmbH,2500858,2018-06-23T03:58:12Z,D3310V_HRB4062,de/D3310V_HRB4062,currently registered,de,Schönseerstr.,Schönseerstr.,,,Nürnberg,HRB,Bavaria,4062,Nürnberg HRB 4062,Nürnberg,,,true,true,true,true,true,true,true,,,Wolfgang Reinhardt,person,Geschäftsführer,,2011-05-02,Wolfgang,Reinhardt,Rückersdorf,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sven Endres,person,Geschäftsführer,2008-09-18,,Sven,Endres,Schwaig,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sven Endres,person,Geschäftsführer,2014-01-10,,Sven,Endres,Schwaig,,sole representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS-Bau GmbH & Co. KG,2500865,2018-06-23T03:58:12Z,D3201V_HRA4062,de/D3201V_HRA4062,currently registered,de,Austr.,Austr.,,,Ansbach,HRA,Bavaria,4062,Ansbach HRA 4062,Gunzenhausen,,,true,true,true,false,true,true,true,,,"CS-Bau Verwaltungs-GmbH, Gunzenhausen (Amtsgericht Ansbach HRB 6225).",company,Persönlich haftender Gesellschafter,2016-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jens Andresen Verwaltungs-GmbH,2500933,2018-06-23T03:58:12Z,X1517R_HRB4062KI,de/X1517R_HRB4062KI,removed,de,"c/o Jens Andresen, Rammseer Weg 25 a, 24113 Molfsee Vertretungsregelung: Ist nur ein Liquidator bestellt, so vertritt dieser die Gesellschaft allein.",c/o Jens Andresen,Rammseer,"Weg 25 a, 24113 Molfsee Vertretungsregelung: Ist nur ein Liquidator bestellt, so vertritt dieser die Gesellschaft allein.",Kiel,HRB,Schleswig-Holstein,4062,Kiel HRB 4062 KI,Molfsee,,KI,false,true,true,true,false,true,true,,,Jens Andresen,person,Liquidator,2010-07-30,,Jens,Andresen,Molfsee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann Winkler Getränke-Logistik Groß- und Einzelhandel e.K.,2500935,2018-06-23T03:58:12Z,D2910V_HRA4062,de/D2910V_HRA4062,currently registered,de,Heinrich-Hertz-Str.,Heinrich-Hertz-Str.,,,Traunstein,HRA,Bavaria,4062,Traunstein HRA 4062,Traunreut,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,Johann Winkler e.K.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johann Winkler,,,,,,,,,,,,,,,,,,,,,,,,
Kälbermast Kerkau GmbH,2500945,2018-06-23T03:58:12Z,W1215_HRB4062,de/W1215_HRB4062,currently registered,de,Kerkauer Dorfstr.,Kerkauer Dorfstr.,,,Stendal,HRB,Saxony-Anhalt,4062,Stendal HRB 4062,Arendsee (Altmark),,,true,true,true,false,true,true,true,,,Klaas Adriaan Beukers,person,Geschäftsführer,,2010-12-20,Klaas Adriaan,Beukers,Niederlande,true,,,Eemdyk,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arie Jan van Dam,person,Geschäftsführer,,2015-05-05,Arie Jan,van Dam,Teitytsjen (Niederlande) / Niederlande,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arjen van Dam,person,Prokurist,,2015-05-05,Arjen,van Dam,Burgum/Niederlande,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
