_ - name,_ - _line,_ - retrieved_at,_ - company_number,cp_number_wikidata,_ - current_status,_ - jurisdiction_code,_ - registered_address,street,postal_code,city,_ - all_attributes - registrar,_ - all_attributes - _registerArt,_ - all_attributes - federal_state,_ - all_attributes - _registerNummer,_ - all_attributes - native_company_number,_ - all_attributes - registered_office,_ - all_attributes - former_registrar,_ - all_attributes - _registerNummerSuffix,_ - all_attributes - additional_data - AD,_ - all_attributes - additional_data - CD,_ - all_attributes - additional_data - DK,_ - all_attributes - additional_data - HD,_ - all_attributes - additional_data - SI,_ - all_attributes - additional_data - UT,_ - all_attributes - additional_data - VÖ,_ - all_attributes - additional_data - ,_ - all_attributes - additional_data - Note:,_ - officers - _ - name,_ - officers - _ - type,_ - officers - _ - position,_ - officers - _ - start_date,_ - officers - _ - end_date,_ - officers - _ - other_attributes - firstname,_ - officers - _ - other_attributes - lastname,_ - officers - _ - other_attributes - city,_ - officers - _ - other_attributes - dismissed,_ - officers - _ - other_attributes - flag,_ - officers - _ - other_attributes - reference_no,_ - officers - _ - other_attributes - title,_ - officers - _ - other_attributes - maidenname,_ - previous_names - _ - company_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steffen Drewes,person,Geschäftsführer,2008-12-23,,Steffen,Drewes,Demmin,,sole representation,,,,
Glas-Funke GmbH,2300158,2018-06-22T05:29:32Z,R3103_HRB3097,de/R3103_HRB3097,currently registered,de,Benzstr.,Benzstr.,,,Düren,HRB,North Rhine-Westphalia,3097,Düren HRB 3097,Kall,,,true,true,true,true,true,true,true,,,Werner Meuser,person,Geschäftsführer,,2014-02-19,Werner,Meuser,Schleiden-Gemünd,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werner Meuser,person,Prokurist,,2014-09-18,Werner,Meuser,Schleiden,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Fink,person,Geschäftsführer,,2016-11-25,Andreas,Fink,Deggendorf,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Fink,person,Geschäftsführer,2014-02-19,,Andreas,Fink,Deggendorf,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heiko Holtschneider,person,Prokurist,2014-02-19,,Heiko,Holtschneider,Aachen,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingolf Ripberger,person,Geschäftsführer,2016-11-25,,Ingolf,Ripberger,Bremen,,,,,,
Jacob Hemmerich GmbH & Co KG,2300189,2018-06-22T05:29:32Z,M1103_HRA3097,de/M1103_HRA3097,currently registered,de,Rundeturmstr.,Rundeturmstr.,,,Darmstadt,HRA,Hesse,3097,Darmstadt HRA 3097,Darmstadt,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,Jacob Hemmerich
Mambo GK-Möbel-Handels GmbH,2300221,2018-06-22T05:29:32Z,R3201_HRB3097,de/R3201_HRB3097,currently registered,de,Ennemoserstr.,Ennemoserstr.,,,Bonn,HRB,North Rhine-Westphalia,3097,Bonn HRB 3097,Bonn,,,true,true,true,true,true,true,true,,,Bernd Lammerz,person,Prokurist,,2016-12-12,Bernd,Lammerz,Bonn,true,,,,,GK-Möbel-Handelsgesellschaft mbH
My Choc GmbH & Co. KG,2300232,2018-06-22T05:29:32Z,N1308V_HRA3097,de/N1308V_HRA3097,removed,de,Lübsche Str.,Lübsche Str.,,,Schwerin,HRA,Mecklenburg-Western Pomerania,3097,Schwerin HRA 3097,Wismar,,,false,true,true,false,false,true,true,,,"Rock Kidz Verwaltungs GmbH, Wismar (AG Schwerin HRB 10383), einzelvertretungsberechtigt",company,Persönlich haftender Gesellschafter,2010-07-13,,,,,,,,,,
Schreinerei Franken Inh. Dieter Werden e.K.,2300258,2018-06-22T05:29:32Z,R3103_HRA3097,de/R3103_HRA3097,currently registered,de,Rudolf-Diesel-Str.,Rudolf-Diesel-Str.,,,Düren,HRA,North Rhine-Westphalia,3097,Düren HRA 3097,Jülich,,,true,true,true,false,true,true,true,,,Dieter Werden,person,Inhaber,2010-05-18,,Dieter,Werden,Jülich,,,,,,
V + S Vertrieb und Service GmbH,2300281,2018-06-22T05:29:32Z,H1101_H1102_HRB3097,de/H1101_H1102_HRB3097,currently registered,de,Herwigstr.,Herwigstr.,,,Bremen,HRB,Bremen,3097,Bremen früher Bremerhaven HRB 3097,Bremerhaven,Bremerhaven,,true,true,true,true,true,true,true,,,Rainer Blümel,person,Geschäftsführer,,2014-01-31,Rainer,Blümel,,true,,3,,,
GEMA Automobilhandels GmbH,2300365,2018-06-22T05:30:49Z,R1504_HRB3098,de/R1504_HRB3098,removed,de,"c/o Maubach Goebel Steuerberater Partnerschaftsgesellschaft, Nettelbeckstraße 1, 40477 Düsseldorf.",c/o Maubach Goebel Steuerberater Partnerschaftsgesellschaft,Nettelbeckstraße,"1, 40477 Düsseldorf.",Mönchengladbach,HRB,North Rhine-Westphalia,3098,Mönchengladbach HRB 3098,Mönchengladbach,,,false,true,true,true,false,true,true,,,Dirk Gerhardy,person,Liquidator,2010-10-07,,Dirk,Gerhardy,Mönchengladbach,,,,,,GEMA Karosseriebau und. Lackiererei GmbH
HIB Verpachtgesellschaft mbH,2300380,2018-06-22T05:30:49Z,U1104_HRB3098,de/U1104_HRB3098,currently registered,de,Mittlere Bergstr.,Mittlere Bergstr.,,,Dresden,HRB,Saxony,3098,Dresden HRB 3098,Radebeul,,,true,true,true,true,true,true,true,,,Stefan Krause,person,Geschäftsführer,,2017-12-21,Stefan,Krause,Radebeul,true,,,,,HIB Gesellschaft für Industrieautomation mit beschränkter Haftung
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainer Krause,person,Geschäftsführer,2014-08-25,,Rainer,Krause,Radebeul,,sole representation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Krause,person,Geschäftsführer,2014-08-25,,Stefan,Krause,Radebeul,,sole representation,,,,
STERN-ENZYM Verwaltungsgesellschaft mbH,2300478,2018-06-22T05:30:49Z,X1721R_HRB3098AH,de/X1721R_HRB3098AH,currently registered,de,Kurt-Fischer-Str.,Kurt-Fischer-Str.,,,Lübeck,HRB,Schleswig-Holstein,3098,Lübeck HRB 3098 AH,Ahrensburg,,AH,true,true,true,true,true,true,true,,,Lennart Kutschinski,person,Geschäftsführer,2006-11-09,,Lennart,Kutschinski,Hamburg,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Schliesser,person,Prokurist,2006-11-09,,Stefan,Schliesser,Groß Grönau,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torsten Wywiol,person,Geschäftsführer,2011-06-28,,Torsten,Wywiol,Wohltorf,,,3,,,
Gut Hammer Liebenwalde GmbH,2300607,2018-06-22T05:32:07Z,G1309_HRB3099,de/G1309_HRB3099,currently registered,de,Lindenstr.,Lindenstr.,,,Neuruppin,HRB,Brandenburg,3099,Neuruppin HRB 3099,Liebenwalde,,,true,true,true,true,true,true,true,,,Helmut Werkmeister,person,Prokurist,,2010-12-13,Helmut,Werkmeister,,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingrid Jürs,person,Prokurist,,2010-12-13,Ingrid,Jürs,,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sylvia geborene Hintze Schulze,person,Prokurist,,2016-09-20,Sylvia geborene Hintze,Schulze,,true,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anja Schiemann,person,Prokurist,2010-12-13,,Anja,Schiemann,Liebenwalde OT Kreuzbruch,,Prokura gemeinsam mit einem weiteren Prokuristen,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie Henke,person,Prokurist,2016-09-20,,Melanie,Henke,Liebenwalde,,,5,,,
Herrmann Industrieservice GmbH,2300620,2018-06-22T05:32:07Z,T3104V_HRB3099,de/T3104V_HRB3099,currently registered,de,Rheinhorststr.,Rheinhorststr.,,,Ludwigshafen a.Rhein (Ludwigshafen),HRB,Rhineland-Palatinate,3099,Ludwigshafen a.Rhein (Ludwigshafen) HRB 3099,Ludwigshafen/Rh.,,,true,true,true,true,true,true,true,,,Alfred Herrmann,person,Geschäftsführer,,2009-05-28,Alfred,Herrmann,Ludwigshafen/Rh,true,,,Speditionskaufmann,,
Bertelsmann AG,2300766,2018-06-22T05:33:38Z,R2103_HRB3100,de/R2103_HRB3100,removed,de,Carl-Bertelsmann-Str.,Carl-Bertelsmann-Str.,,,Gütersloh,HRB,North Rhine-Westphalia,3100,Gütersloh HRB 3100,Gütersloh,,,false,true,false,true,false,true,true,,,Bernd Bauer,person,Prokurist,,2005-08-12,Bernd,Bauer,Hamburg,true,,,,,Bertelsmann Aktiengesellschaft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verena Doctor Volpert,person,Prokurist,,2006-02-01,Verena,Doctor Volpert,Lennestadt,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detlef Dipl.-Kaufmann Hunsdiek,person,Prokurist,,2006-08-25,Detlef,Dipl.-Kaufmann Hunsdiek,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gert Stürzebecher,person,Prokurist,,2007-03-15,Gert,Stürzebecher,Hamburg,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasmine Borhan,person,Prokurist,,2008-02-04,Jasmine,Borhan,München,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penny G Newman,person,Prokurist,,2008-04-23,Penny G,Newman,Brüssel (Belgien),true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaus-Peter Dipl.-Kaufmann Blobel,person,Prokurist,,2008-07-10,Klaus-Peter,Dipl.-Kaufmann Blobel,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Wittjohann,person,Prokurist,,2008-08-05,Michael,Wittjohann,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tobias Mayr,person,Prokurist,,2008-11-24,Tobias,Mayr,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfgang Wiedermann,person,Prokurist,,2009-07-17,Wolfgang,Wiedermann,Rheda-Wiedenbrück,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kay Christian Krafft,person,Prokurist,,2009-10-05,Kay Christian,Krafft,Ratingen,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Günter Wilmsmeier,person,Prokurist,,2010-01-06,Günter,Wilmsmeier,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jörg Doctor Hernler,person,Prokurist,,2010-05-12,Jörg,Doctor Hernler,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gero Hesse,person,Prokurist,,2011-10-21,Gero,Hesse,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erich Budde,person,Prokurist,,2011-12-21,Erich,Budde,Bielefeld,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Günther Doctor Grüger,person,Prokurist,,2012-01-10,Günther,Doctor Grüger,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udo Schoenwald,person,Prokurist,,2012-02-17,Udo,Schoenwald,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steven Moran,person,Prokurist,,2012-05-21,Steven,Moran,Gütersloh,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Melcher,person,Prokurist,2012-03-13,,Christian,Melcher,Rheda-Wiedenbrück,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denise Abel,person,Prokurist,2010-01-06,,Denise,Abel,Viersen,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirk Doctor Refäuter,person,Prokurist,2008-04-23,,Dirk,Doctor Refäuter,München,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Carro de Prada,person,Prokurist,2009-11-09,,Fernando,Carro de Prada,Sant Cugat del Vallés/Spanien,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gero Hesse,person,Prokurist,2009-07-22,,Gero,Hesse,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Günther Dipl.-Kaufmann Doctor Grüger,person,Prokurist,2006-04-19,,Günther,Dipl.-Kaufmann Doctor Grüger,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartmut Jürgen Doctor Klein,person,Prokurist,2009-08-21,,Hartmut Jürgen,Doctor Klein,Rheda-Wiedenbrück,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrik Pahls,person,Prokurist,2012-02-17,,Henrik,Pahls,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasmine Borhan,person,Prokurist,2005-12-01,,Jasmine,Borhan,München,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Gehrandt,person,Prokurist,2010-01-27,,Jens,Gehrandt,Bielefeld,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jörn Caumanns,person,Prokurist,2011-02-22,,Jörn,Caumanns,Verl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karin Schlautmann,person,Prokurist,2011-12-21,,Karin,Schlautmann,Herzebrock-Clarholz,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kay Christian Krafft,person,Prokurist,2006-03-29,,Kay Christian,Krafft,Ratingen,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaus-Michael Beisheim,person,Prokurist,2010-02-22,,Klaus-Michael,Beisheim,Pulheim,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc Wössner,person,Prokurist,2008-05-09,,Marc,Wössner,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markus Schmedtmann,person,Prokurist,2008-07-10,,Markus,Schmedtmann,Bielefeld,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlies Hanfgarn,person,Prokurist,2008-11-24,,Marlies,Hanfgarn,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Rembde,person,Prokurist,2009-04-03,,Martin,Rembde,Bielefeld,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maximilian Doctor Dressendörfer,person,Prokurist,2007-06-12,,Maximilian,Doctor Dressendörfer,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Doctor Pesch,person,Prokurist,2010-05-12,,Michael,Doctor Pesch,Bielefeld,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Doctor Pesch,person,Prokurist,2010-06-04,,Michael,Doctor Pesch,Bielefeld,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niklas Doctor Darijtschuk,person,Prokurist,2009-06-24,,Niklas,Doctor Darijtschuk,Verl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olaf Doctor Christiansen,person,Prokurist,2008-04-23,,Olaf,Doctor Christiansen,Berlin,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralf Doctor Schremper,person,Prokurist,2006-04-19,,Ralf,Doctor Schremper,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralf Doctor Schremper,person,Prokurist,2007-06-12,,Ralf,Doctor Schremper,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senta Puls,person,Prokurist,2007-07-10,,Senta,Puls,Bielefeld,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Bierfischer,person,Prokurist,2009-04-14,,Stefan,Bierfischer,Gütersloh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thorsten Strauß,person,Prokurist,2009-02-05,,Thorsten,Strauß,Warendorf,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulrich Doctor Koch,person,Prokurist,2009-03-24,,Ulrich,Doctor Koch,Gütersloh,,,,,,
Gräwe Industrievertretungen GmbH,2300839,2018-06-22T05:33:38Z,D3304V_HRB3100,de/D3304V_HRB3100,removed,de,Leharstr.,Leharstr.,,,Fürth,HRB,Bavaria,3100,Fürth HRB 3100,Herzogenaurach,,,false,true,true,true,false,true,true,,,Waltraud geborene Wacker Gräwe,person,Prokurist,,2010-04-07,Waltraud geborene Wacker,Gräwe,Herzogenaurach,true,,,,,Wolfgang Gräwe Industrievertretungen GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfgang Gräwe,person,Geschäftsführer,,2010-04-07,Wolfgang,Gräwe,Herzogenaurach,true,,,Kaufmann,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waltraud : Gräwe,person,Liquidator,2013-01-07,,Waltraud,: Gräwe,Herzogenaurach,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waltraud geborene Wacker Gräwe,person,Geschäftsführer,2010-04-07,,Waltraud geborene Wacker,Gräwe,Herzogenaurach,,sole representation,,,,
Kraetke-Elektrowerkstatt GmbH,2300877,2018-06-22T05:33:38Z,X1721R_HRB3100HL,de/X1721R_HRB3100HL,currently registered,de,Nibelungenstr.,Nibelungenstr.,,,Lübeck,HRB,Schleswig-Holstein,3100,Lübeck HRB 3100 HL,Lübeck,,HL,true,true,true,true,true,true,true,,,Thomas Kraetke,person,Geschäftsführer,2018-03-12,,Thomas,Kraetke,Lübeck,,,,,,
Wessel Bau GmbH,2300961,2018-06-22T05:33:38Z,G1309_HRB3100,de/G1309_HRB3100,currently registered,de,Dorfstr.,Dorfstr.,,,Neuruppin,HRB,Brandenburg,3100,Neuruppin HRB 3100,Neuruppin,,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
G. u. E. Boisch,2301036,2018-06-22T05:34:56Z,H1101_H1102_HRA3101,de/H1101_H1102_HRA3101,currently registered,de,Lange Str.,Lange Str.,,,Bremen,HRA,Bremen,3101,Bremen früher Bremerhaven HRA 3101,Bremerhaven,Bremerhaven,,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,
Grießbach Objektverwaltung GmbH,2301045,2018-06-22T05:34:56Z,D3304V_HRB3101,de/D3304V_HRB3101,removed,de,Blütenstr.,Blütenstr.,,,Fürth,HRB,Bavaria,3101,Fürth HRB 3101,Cadolzburg,,,false,true,true,true,false,true,true,,,Marita geborene Kissel Schneider,person,Geschäftsführer,,2009-07-24,Marita geborene Kissel,Schneider,Zirndorf,true,,,Immobilienkaufmann,,Schneider Immobilien GmbH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Grießbach,person,Prokurist,,2011-07-29,Claudia,Grießbach,Cadolzburg,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Grießbach,person,Prokurist,2009-07-24,,Claudia,Grießbach,Cadolzburg,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfgang Grießbach,person,Geschäftsführer,2009-07-24,,Wolfgang,Grießbach,Cadolzburg,,sole representation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfgang Grießbach,person,Liquidator,2012-07-03,,Wolfgang,Grießbach,Cadolzburg,,sole representation,,,,
"Martin-Apotheke, Inh. Sylvia Adams e. Kfr.",2301098,2018-06-22T05:34:56Z,R3201_HRA3101,de/R3201_HRA3101,currently registered,de,Frankfurter Str.,Frankfurter Str.,,,Bonn,HRA,North Rhine-Westphalia,3101,Bonn HRA 3101,Bonn,,,true,true,true,true,true,true,true,,,Dagmar Brüse,person,Inhaber,,2009-12-28,Dagmar,Brüse,Bonn,true,,,,,Martin Apotheke Inhaber Dagmar Skipka-Pavel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sylvia Adams,person,Inhaber,2009-12-28,,Sylvia,Adams,Königswinter,,,,,,Martin-Apotheke Inh. Dagmar Brüse
Micke Gesellschaft mit beschränkter Haftung,2301102,2018-06-22T05:34:56Z,T2214V_HRB3101,de/T2214V_HRB3101,removed,de,Rudolf-Dietz-Str.,Rudolf-Dietz-Str.,,,Montabaur,HRB,Rhineland-Palatinate,3101,Montabaur HRB 3101,Diez,,,false,true,true,true,false,true,true,,,Klaus Micke,person,Liquidator,2012-04-02,,Klaus,Micke,Diez,,sole representation,,,,
Scharnagl Verwaltungs GmbH,2301138,2018-06-22T05:34:56Z,D3101V_HRB3101,de/D3101V_HRB3101,currently registered,de,Kolpingstr.,Kolpingstr.,,,Amberg,HRB,Bavaria,3101,Amberg HRB 3101,Wernberg-Köblitz,,,true,true,true,true,true,true,true,,,Joachim Scharnagl,person,Liquidator,2017-11-14,,Joachim,Scharnagl,Wernberg-Köblitz,,mit der Befugnis im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen,,,,
Shape Up GmbH & Co. OHG,2301144,2018-06-22T05:34:56Z,D3101V_HRA3101,de/D3101V_HRA3101,currently registered,de,Nürnberger Str.,Nürnberger Str.,,,Amberg,HRA,Bavaria,3101,Amberg HRA 3101,Hirschau,,,true,true,true,false,true,true,true,,,"Med Systeme Scherm UG (haftungsbeschränkt), Illschwang (Amtsgericht Amberg HRB 4494).",company,Persönlich haftender Gesellschafter,,2013-11-27,,,,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Med Systeme Scherm UG (haftungsbeschränkt), Illschwang (Amtsgericht Amberg HRB 4494)",company,Persönlich haftender Gesellschafter,2011-07-08,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Lautenschlager,person,Persönlich haftender Gesellschafter,2013-11-27,,Michael,Lautenschlager,Poppenricht,,sole representation,,,,
Söllner GmbH & Co Kommanditgesellschaft,2301155,2018-06-22T05:34:56Z,R2706_HRA3101,de/R2706_HRA3101,removed,de,Hermannstr.,Hermannstr.,,,Steinfurt,HRA,North Rhine-Westphalia,3101,Steinfurt HRA 3101,Emsdetten,,,false,true,true,true,false,true,true,,,"Söllner GmbH, Emsdetten (Steinfurt HRB 4199).",company,Persönlich haftender Gesellschafter,,2010-09-09,,,,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Söllner Verwaltungs- und Beteiligungs- GmbH, Emsdetten (AG Steinfurt HRB 8666), mit der Befugnis -auch für jeden Geschäftsführer-, im Namen der Gesellschaft mit sich im eigenen Namen oder als Vertreter eines Dritten Rechtsgeschäfte abzuschließen.",company,Persönlich haftender Gesellschafter,2010-09-09,,,,,,,,,,
Wohnungswirtschaft und Bau GmbH Bischofswerda,2301182,2018-06-22T05:34:56Z,U1104_HRB3101,de/U1104_HRB3101,currently registered,de,Kamenzer Str.,Kamenzer Str.,,,Dresden,HRB,Saxony,3101,Dresden HRB 3101,Bischofswerda,,,true,true,true,true,true,true,true,,,Helmut Byttow,person,Geschäftsführer,,2005-04-11,Helmut,Byttow,,true,,,,,
